,Democracy,Freedom,Market,Socialism,Globalization,Traditionalism,Nationalism,q5,q3,bhs,hs,college,above_college,i0_50k,i50_100k,i100_150k,i150_300k,ia300k,north,northeast,east,southcentral,southwest,northwest,age,gender,qs2,qs10,qs01,qs0
0,-3.0,-4.0,-4.0,3.5,-1.0,7.0,6.0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,29,1,0,0,1,0
1,4.0,-5.0,0.0,1.5,1.0,4.0,3.0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,32,1,0,0,1,0
2,4.0,2.0,0.0,6.5,-4.0,1.0,-2.0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,42,0,0,1,0,0
3,2.0,1.0,0.5,-1.5,-3.0,-6.0,-6.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,34,0,1,0,0,0
4,-2.0,-1.0,0.0,4.5,-6.0,3.0,5.0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,43,0,0,1,0,0
5,1.0,-1.0,-1.0,2.5,-2.0,-3.0,-1.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,49,1,0,1,0,0
6,4.0,-4.0,1.0,-0.5,-1.0,-0.0,-2.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,31,0,0,0,1,0
7,1.0,-1.0,-0.5,2.5,-1.0,-1.0,2.0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,41,1,1,0,0,0
8,2.0,-1.0,-1.0,-0.5,-3.0,-2.0,0.0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,24,1,0,1,0,0
9,-3.0,-1.0,2.5,0.5,2.0,-4.0,1.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,27,0,0,0,1,0
10,1.0,-1.0,1.0,-0.5,1.0,-2.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,57,1,0,0,0,1
11,-7.0,-3.0,-4.0,2.5,-1.0,2.0,4.0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,45,1,0,0,1,0
12,0.0,-4.0,-1.0,5.5,0.0,7.0,4.0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,29,1,1,0,0,0
13,2.0,0.0,3.0,-1.5,2.0,-1.0,-2.0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,35,0,1,0,0,0
14,-2.0,0.0,-2.5,1.5,-1.0,1.0,2.0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,49,0,1,0,0,0
15,0.0,-1.0,2.0,3.5,-1.0,-2.0,-1.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,18,0,0,1,0,0
16,-2.0,-1.0,-3.0,3.5,0.0,1.0,4.0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,39,1,1,0,0,0
17,1.0,-1.0,1.0,-0.5,1.0,-2.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,57,1,0,0,0,1
18,9.0,1.0,2.5,0.5,1.0,-2.0,-8.0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,52,1,1,0,0,0
19,1.0,0.0,1.5,1.5,-1.0,-1.0,-2.0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,46,1,1,0,0,0
20,3.0,1.0,3.0,-0.5,1.0,-4.0,-2.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,42,1,0,0,0,1
21,-5.0,0.0,-0.5,2.5,1.0,9.0,7.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,36,1,0,0,1,0
22,-2.0,-1.0,0.0,-0.5,-1.0,1.0,3.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,32,1,0,0,0,1
23,3.0,0.0,2.0,-3.5,-1.0,-5.0,-3.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,35,0,0,1,0,0
24,1.0,2.0,-0.5,1.5,0.0,-2.0,-1.0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,52,0,1,0,0,0
25,-2.0,-3.0,-1.5,4.5,0.0,-3.0,5.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,26,1,0,0,1,0
26,0.0,0.0,0.5,3.5,0.0,-0.0,1.0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,35,1,1,0,0,0
27,-2.0,-1.0,-3.5,-0.5,-2.0,2.0,4.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,55,0,0,0,1,0
28,2.0,-1.0,-2.0,5.5,-3.0,4.0,2.0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,58,1,1,0,0,0
29,-4.0,-3.0,-1.5,-1.5,-2.0,-1.0,6.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,23,1,0,0,1,0
30,2.0,1.0,1.0,2.5,-4.0,2.0,1.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,58,0,0,0,1,0
31,0.0,1.0,1.0,-1.5,0.0,-2.0,-2.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,25,1,0,0,0,1
32,0.0,2.0,3.0,-0.5,-4.0,-2.0,3.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,24,0,0,1,0,0
33,2.0,-3.0,-0.5,0.5,-1.0,3.0,-1.0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,45,0,0,1,0,0
34,4.0,3.0,0.5,1.5,0.0,-3.0,-2.0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,60,1,0,1,0,0
35,3.0,-1.0,1.0,2.5,-4.0,-4.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,34,0,0,0,0,1
36,2.0,-1.0,1.0,0.5,-1.0,3.0,5.0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,32,0,0,1,0,0
37,0.0,0.0,-1.0,2.5,-2.0,3.0,2.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,53,1,0,1,0,0
38,-8.0,-2.0,-3.0,4.5,3.0,4.0,8.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,39,1,0,0,1,0
39,3.0,-2.0,-1.5,0.5,-1.0,-4.0,1.0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,51,1,1,0,0,0
40,1.0,-1.0,1.0,2.5,-2.0,1.0,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,29,1,0,1,0,0
41,-2.0,0.0,-1.5,1.5,0.0,-0.0,6.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,30,0,0,0,0,1
42,7.0,-1.0,3.0,2.5,-1.0,-5.0,-2.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,35,1,0,1,0,0
43,-2.0,0.0,0.0,3.5,-1.0,1.0,1.0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,39,1,1,0,0,0
44,-1.0,-2.0,0.5,-0.5,-3.0,-0.0,3.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,42,0,0,0,1,0
45,3.0,0.0,2.5,0.5,-1.0,-2.0,-2.0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,19,0,1,0,0,0
46,2.0,1.0,1.0,1.5,-3.0,2.0,-2.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,26,0,1,0,0,0
47,-2.0,-2.0,-2.0,-0.5,-1.0,2.0,2.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,46,1,0,0,1,0
48,4.0,2.0,1.5,-2.5,0.0,-4.0,-3.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,30,1,0,1,0,0
49,-2.0,-3.0,-3.0,4.5,-4.0,1.0,0.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,19,1,1,0,0,0
50,-1.0,-5.0,2.0,1.5,2.0,-0.0,-2.0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,49,0,1,0,0,0
51,0.0,-2.0,-0.5,4.5,0.0,-0.0,3.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,49,1,0,0,1,0
52,4.0,1.0,0.5,0.5,-1.0,-1.0,-1.0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,56,1,0,1,0,0
53,0.0,-1.0,-4.0,3.5,-1.0,1.0,3.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,43,0,0,0,1,0
54,-2.0,3.0,-2.5,6.5,-2.0,-4.0,6.0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,31,1,0,1,0,0
55,0.0,0.0,-5.0,1.5,-5.0,3.0,3.0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,47,0,0,0,1,0
56,2.0,0.0,7.0,0.5,2.0,-12.0,-4.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,52,1,0,1,0,0
57,2.0,0.0,1.5,0.5,-3.0,1.0,-1.0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,47,0,1,0,0,0
58,3.0,0.0,2.0,0.5,0.0,-2.0,-2.0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,44,1,0,1,0,0
59,0.0,0.0,1.0,2.5,0.0,-0.0,-1.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,47,1,1,0,0,0
60,-1.0,-2.0,0.5,2.5,-3.0,2.0,4.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,53,1,0,0,0,1
61,3.0,0.0,1.0,-1.5,1.0,-1.0,-2.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,36,0,0,1,0,0
62,2.0,0.0,-3.0,1.5,-2.0,1.0,2.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,47,1,0,0,0,1
63,2.0,1.0,-3.0,3.5,1.0,6.0,1.0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,33,1,0,1,0,0
64,-1.0,0.0,0.5,2.5,1.0,2.0,2.0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,45,1,0,1,0,0
65,-3.0,-4.0,-2.0,-1.5,-3.0,3.0,2.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,18,0,0,0,1,0
66,-2.0,1.0,-2.5,2.5,-1.0,5.0,2.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,30,0,0,0,0,1
67,-1.0,1.0,0.0,4.5,-1.0,-0.0,-1.0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,59,0,0,1,0,0
68,0.0,-1.0,-0.5,1.5,0.0,-2.0,-2.0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,54,0,1,0,0,0
69,-2.0,-1.0,-4.0,1.5,-1.0,-0.0,1.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,18,1,0,0,1,0
70,-1.0,0.0,-0.5,1.5,-1.0,-0.0,0.0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,54,0,0,1,0,0
71,1.0,-2.0,1.0,2.5,-3.0,-2.0,0.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,39,1,1,0,0,0
72,-4.0,-2.0,0.5,-1.5,-2.0,4.0,2.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,22,0,0,0,0,1
73,2.0,2.0,4.5,0.5,0.0,-3.0,-2.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,36,1,0,1,0,0
74,3.0,-3.0,-3.0,3.5,-1.0,1.0,0.0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,31,0,0,1,0,0
75,-2.0,-1.0,-3.0,4.5,-4.0,2.0,5.0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,38,0,1,0,0,0
76,-2.0,-5.0,-3.0,2.5,0.0,-0.0,4.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,30,1,0,0,1,0
77,0.0,1.0,0.5,1.5,-4.0,-1.0,-1.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,57,1,0,0,0,1
78,-3.0,-1.0,-3.0,2.5,-2.0,-2.0,6.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,44,0,0,1,0,0
79,-1.0,3.0,2.5,1.5,-1.0,-2.0,-2.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,43,1,1,0,0,0
80,-1.0,0.0,-2.0,-0.5,-2.0,-2.0,-2.0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,48,0,0,0,1,0
81,-2.0,2.0,-4.5,4.5,-3.0,7.0,2.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,57,0,0,1,0,0
82,-2.0,-2.0,-1.5,1.5,-1.0,2.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,57,0,0,0,0,1
83,2.0,1.0,4.0,-2.5,1.0,-2.0,-3.0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,30,0,1,0,0,0
84,2.0,-1.0,-1.0,2.5,-1.0,-1.0,0.0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,24,1,1,0,0,0
85,2.0,-1.0,0.5,-1.5,2.0,-3.0,0.0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,24,0,1,0,0,0
86,4.0,0.0,0.0,0.5,-3.0,-2.0,-3.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,27,1,0,0,1,0
87,2.0,0.0,0.5,1.5,-1.0,2.0,2.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,59,0,0,0,0,1
88,6.0,-1.0,-5.5,6.5,-2.0,5.0,3.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,27,1,0,0,0,1
89,3.0,1.0,-2.0,0.5,-5.0,1.0,0.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,18,1,0,0,1,0
90,0.0,-2.0,0.0,2.5,0.0,-0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,31,0,0,0,0,1
91,-6.0,0.0,-6.0,5.5,0.0,10.0,4.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,48,1,0,0,1,0
92,3.0,1.0,-0.5,1.5,-6.0,-4.0,-4.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,22,1,1,0,0,0
93,-2.0,-2.0,-2.0,3.5,1.0,-1.0,6.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,22,0,0,0,0,1
94,6.0,1.0,4.0,0.5,1.0,-6.0,-5.0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,27,0,1,0,0,0
95,4.0,1.0,-2.5,0.5,-2.0,2.0,0.0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,54,0,1,0,0,0
96,-1.0,-1.0,1.0,1.5,-4.0,-1.0,2.0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,23,1,1,0,0,0
97,5.0,-3.0,2.0,2.5,-2.0,-1.0,1.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,21,0,0,0,0,1
98,2.0,0.0,2.0,0.5,-2.0,-0.0,2.0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,34,1,1,0,0,0
99,-3.0,2.0,1.5,2.5,-2.0,2.0,0.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,32,0,0,0,1,0
100,-1.0,0.0,-1.5,-0.5,-2.0,-1.0,6.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,22,1,0,0,0,1
101,1.0,-1.0,1.5,2.5,-1.0,-1.0,-1.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,35,0,1,0,0,0
102,7.0,-2.0,5.5,-2.5,0.0,-3.0,-7.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,43,0,0,1,0,0
103,0.0,-4.0,-0.5,0.5,-2.0,-1.0,1.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,31,1,0,0,1,0
104,1.0,0.0,-2.5,4.5,-4.0,4.0,2.0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,46,1,1,0,0,0
105,3.0,0.0,-0.5,2.5,1.0,-4.0,2.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,53,0,0,0,1,0
106,0.0,0.0,1.0,0.5,-2.0,-1.0,1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,27,0,0,0,0,1
107,4.0,0.0,2.5,-1.5,0.0,-5.0,-7.0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,32,1,0,1,0,0
108,-2.0,-1.0,-2.0,4.5,-4.0,2.0,-2.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,40,1,0,0,1,0
109,-2.0,1.0,0.0,2.5,0.0,1.0,4.0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,39,1,1,0,0,0
110,0.0,-2.0,0.5,2.5,1.0,2.0,4.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,32,1,0,0,0,1
111,0.0,-3.0,-1.0,-0.5,0.0,-2.0,0.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,51,0,1,0,0,0
112,2.0,-1.0,5.5,-0.5,1.0,-6.0,-2.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,36,1,0,1,0,0
113,2.0,3.0,4.0,-0.5,0.0,-4.0,-3.0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,58,0,1,0,0,0
114,-1.0,-2.0,-4.0,5.5,-4.0,6.0,1.0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,53,0,0,0,1,0
115,-4.0,0.0,-2.5,3.5,-3.0,3.0,5.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,45,1,0,0,0,1
116,-6.0,-3.0,-0.5,4.5,-5.0,3.0,3.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,31,0,0,0,1,0
117,1.0,-1.0,2.5,1.5,2.0,-3.0,-3.0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,20,0,1,0,0,0
118,-1.0,2.0,-3.0,1.5,-3.0,2.0,6.0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,45,1,1,0,0,0
119,1.0,-1.0,1.5,2.5,-3.0,2.0,-2.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,28,1,0,1,0,0
120,6.0,4.0,6.0,0.5,1.0,-4.0,-4.0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,45,1,1,0,0,0
121,-2.0,-4.0,1.5,4.5,-7.0,1.0,-1.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,45,1,0,1,0,0
122,-4.0,-1.0,-5.5,3.5,1.0,9.0,3.0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,60,0,0,0,1,0
123,-1.0,3.0,-0.5,1.5,-2.0,2.0,1.0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,57,0,1,0,0,0
124,1.0,1.0,1.5,0.5,0.0,-0.0,0.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,40,1,0,1,0,0
125,2.0,0.0,-0.5,2.5,-1.0,-2.0,-1.0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,50,1,1,0,0,0
126,5.0,3.0,4.5,-5.5,-4.0,-9.0,-8.0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,27,0,1,0,0,0
127,-7.0,0.0,-1.0,1.5,-3.0,2.0,4.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,39,1,0,1,0,0
128,6.0,2.0,4.5,-0.5,-1.0,-6.0,-8.0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,52,0,1,0,0,0
